U+36BB	㚻	3-283E	wv
U+36BC	㚼	3-2836	vw
U+36BD	㚽	3-283C	msv
U+36BE	㚾	5-255D	vrhu
U+36BF	㚿	3-2839	vpru
U+36C0	㛀	14-5155	vnsm
U+36C1	㛁	3-2830	vmfj
U+36C2	㛂	4-286D	vhau
U+36C3	㛃	4-2869	qhv
U+36C4	㛄	3-2B7E	vyhv
U+36C5	㛅	3-2C22	vsj
U+36C6	㛆	14-5454	vnsd
U+36C7	㛇	14-5455	vig
U+36C8	㛈	14-5456	vjks
U+36C9	㛉	15-2A2A	vmcw
U+36CA	㛊	4-2867	vhnd
U+36CB	㛋	14-5457	vop
U+36CC	㛌	14-5458	vihq
U+36CD	㛍	3-303F	vkoo
U+36CE	㛎	3-3042	vrhr
U+36CF	㛏	3-303D	vije
U+36D0	㛐	3-3049	vmlk
U+36D1	㛑	3-3047	yev
U+36D2	㛒	4-2C3B	vmrt
U+36D3	㛓	3-3043	vkkb
U+36D4	㛔	3-3050	vhej
U+36D5	㛕	3-304C	vrau
U+36D6	㛖	3-3044	vice
U+36D7	㛗	4-2C3F	voog
U+36D8	㛘	4-2C3A	vjbd
U+36D9	㛙	3-3039	vytj
U+36DA	㛚	4-2C3C	vnib
U+36DB	㛛	3-3051	vhxh
U+36DC	㛜	3-3046	okv
U+36DD	㛝	3-3041	vbuc
U+36DE	㛞	3-303A	vmgt
U+36DF	㛟	14-5839	vnbk
U+36E0	㛠	14-583A	vlsa
U+36E1	㛡	15-2E6B	vjmu
U+36E2	㛢	15-2E78	vhds
U+36E3	㛣	14-583B	vrbo
U+36E4	㛤	14-583C	vmbb
U+36E5	㛥	4-3129	vea
U+36E6	㛦	3-3526	vdd
