U+2F9C2	䗹	4-643F	litvp
U+2F9C3	衠	4-534C	hopcn
U+2F9C4	衣	6-2553	yoo
U+2F9C5	𧙧	5-303E	lmt
U+2F9C6	裗	6-582E	lyiv
U+2F9C7	裞	6-582C	lcru
U+2F9C8	䘵	15-453D	lsme
U+2F9C9	裺	7-3B61	lkhu
U+2F9CA	㒻	15-384A	abuu
U+2F9CB	𧢮	
U+2F9CC	𧥦	6-3C2D	yrmms
U+2F9CD	䚾	4-3545	yrmg
U+2F9CE	䛇	15-3F3B	yrcr
U+2F9CF	誠	6-6247	yrihl
U+2F9D0	諭	7-334F	yromv
U+2F9D1	變	7-5941	vfhe
U+2F9D2	豕	6-292A	nsho
U+2F9D3	𧲨	6-5850	bhmjj
U+2F9D4	貫	
U+2F9D5	賁	6-585C	jtbc
U+2F9D6	贛	3-607C	yjhec
U+2F9D7	起	6-3C3B	gosu
U+2F9D8	𧼯	7-3379	goomv
U+2F9D9	𠠄	7-3373	gofbn
U+2F9DA	跋	15-3F53	rmike
U+2F9DB	趼	3-446D	rmmjj
U+2F9DC	跰	7-2944	rmhjj
U+2F9DD	𠣞	6-345D	ksjwj
U+2F9DE	軔	4-302C	jjsk
U+2F9DF	輸	7-3431	jjomv
U+2F9E0	𨗒	4-5437	ymbg
U+2F9E1	𨗭	7-3C61	yhog
U+2F9E2	邔	6-255B	sunl
U+2F9E3	郱	4-3572	hjhjl
U+2F9E4	鄑	6-5947	manl
U+2F9E5	𨜮	6-594A	hlhsl
U+2F9E6	鄛	7-3C6B	vdnl
U+2F9E7	鈸	15-4573	cike
U+2F9E8	鋗	6-6353	cib
U+2F9E9	鋘	6-634F	crvk
U+2F9EA	鉼	4-544A	chjj
U+2F9EB	鏹	15-665E	cnri
U+2F9EC	鐕	7-506B	ckua
U+2F9ED	𨯺	15-6C3F	chmf
U+2F9EE	開	6-6358	anmjj
U+2F9EF	䦕	7-347A	anhjj
U+2F9F0	閷	7-3471	kdano
U+2F9F1	𨵷	15-614A	anwot
U+2F9F2	䧦	6-5022	nlikf
U+2F9F3	雃	6-636E	mjmjg
U+2F9F4	嶲	7-3535	uogs
U+2F9F5	霣	3-5678	mbibc
U+2F9F6	𩅅	5-5F5E	mbett
U+2F9F7	𩈚	7-3D50	mwhjj
U+2F9F8	䩮	15-5878	tjsme
U+2F9F9	䩶	7-4B5F	tjumi
U+2F9FA	韠	4-652A	dqwtq
U+2F9FB	𩐊	7-4B6B	jbmom
U+2F9FC	䪲	5-3D47	mumbc
U+2F9FD	𩒖	5-4435	mtmbc
U+2F9FE	頋	6-5A33	mumbc
U+2F9FF	頋	6-6430	mumbc
U+2FA00	頩	4-5976	hjhjc
U+2FA01	𩖶	6-643A	hnid
U+2FA02	飢	6-3C77	oihu
